Codigo,Descricao,Referencias
A269,Erisipelóide não especificado,NA
A270,Leptopirose icterohemorrágica,NA
A278,Outras formas de leptospirose,NA
A279,Leptospirose não especificada,NA
A280,Pasteurelose,NA
A281,Doença por arranhadura do gato,NA
A282,Yersiniose extra-intestinal,NA
A288,Outras doenças bacterianas zoonóticas especificadas não classificadas em outra parte,NA
A289,Doença bacteriana zoonótica não especificada,NA
A300,Hanseníase [lepra] indeterminada,NA
A301,Hanseníase [lepra] tuberculóide,NA
A302,Hanseníase [lepra] tuberculóide borderline,NA
A303,Hanseníase [lepra] dimorfa,NA
A304,Hanseníase [lepra] lepromatosa borderline,NA
A305,Hanseníase [lepra] lepromatosa,NA
A308,Outras formas de hanseníase [lepra],NA
A309,Hanseníase [lepra] não especificada,NA
A310,Infecção pulmonar micobacteriana,NA
A311,Infecção cutânea micobacteriana,NA
A318,Outras infecções micobacterianas,NA
A319,Infecção micobacteriana não especificada,NA
A320,Listeriose cutânea,NA
A321,Meningite e meningoencefalite por listéria,NA
A327,Septicemia listeriótica,NA
A328,Outras formas de listeriose,NA
A329,Listeriose não especificada,NA
A33,Tétano do recém-nascido [neonatal],NA
A34,Tétano obstétrico,NA
A35,Outros tipos de tétano,NA
A360,Difteria faríngea,NA
A361,Difteria nasofaríngea,NA
A362,Difteria laríngea,NA
A363,Difteria cutânea,
A368,Outras formas de difteria,
A369,Difteria não especificada,
A370,Coqueluche por Bordetella pertussis,
A371,Coqueluche por Bordetella parapertussis,
A378,Coqueluche por outras espécies da Bordetella,
A379,Coqueluche não especificada,
A38,Escarlatina,
A390,Meningite meningocócica,G01*
A391,Síndrome de Waterhouse-Friderichsen,E35.1*
A392,Meningococcemia aguda,
A393,Meningococcemia crônica,
A394,Meningococcemia não especificada,
A395,Cardite por meningococos,
A398,Outras infecções por meningococos,
A399,Infecção meningocócica não especificada,NA
A400,Septicemia por Streptococcus do grupo A,NA
A401,Septicemia por Streptococcus do grupo B,NA
A402,Septicemia por Streptococcus do grupo D,NA
A403,Septicemia por Streptococcus pneumonia,NA
A408,Outras septicemias estreptocócicas,NA
A409,Septicemia estreptocócica não especificada,NA
A410,Septicemia por Staphylococcus aureus,NA
A411,Septicemia por outros estafilococos especificados,NA
A412,Septicemia por estafilococos não especificados,NA
A413,Septicemia por Haemophilus influenzae,NA
A414,Septicemia por anaeróbios,NA
A415,Septicemia por outros microorganismos gram-negativos,NA
A418,Outras septicemias especificadas,NA
A419,Septicemia não especificada,NA
A420,Actinomicose pulmonar,NA
A421,Actinomicose abdominal,NA
A422,Actinomicose cervicofacial,NA
A427,Septicemia actinomicótica,NA
A428,Outras formas de actinomicose,NA
A429,Actinomicose não especificada,NA
A430,Nocardiose pulmonar,NA
A431,Nocardiose cutânea,NA
A438,Outras formas de nocardiose,NA
A439,Nocardiose não especificada,NA
A440,Bartonelose sistêmica,NA
A441,Bartonelose cutânea e cutâneo-mucosa,NA
A448,Outras formas de bartonelose,NA
A449,Bartonelose não especificada,NA
A46,Erisipela,NA
A480,Gangrena gasosa,NA
A481,Doença dos legionários,NA
A482,Doença dos legionários não-pneumônica [febre de Pontiac],NA
A483,Síndrome do choque tóxico,NA
A484,Febre purpúrica do Brasil,NA
A488,Outras doenças bacterianas especificadas,NA
A490,Infecção estafilocócica de localização não especificada,NA
A491,Infecção estreptocócica de localização não especificada,NA
A492,Infecção por Haemophilus influenzae de localização não especificada,NA
A493,Infecção por Mycoplasma de localização não especificada,NA
A498,Outras infecções bacterianas de localização não especificada,NA
A499,Infecção bacteriana não especificada,NA
A500,Sífilis congênita precoce sintomática,NA
A501,"Sífilis congênita precoce, forma latente",NA
A502,Sífilis congênita precoce não especificada,NA
A503,Oculopatia sifilítica congênita tardia,NA
A504,Neurossífilis congênita tardia [neurossífilis juvenil],NA
A505,Outras formas tardias e sintomáticas da sífilis congênita,NA
A506,Sífilis congênita tardia latente,NA
A507,Sífilis congênita tardia não especificada,NA
A509,Sífilis congênita não especificada,NA
A510,Sífilis genital primária,NA
A511,Sífilis anal primária,NA
A512,Sífilis primária de outras localizações,NA
A513,Sífilis secundária da pele e das mucosas,NA
A514,Outras formas de sífilis secundária,NA
A515,Sífilis precoce latente,NA
A519,Sífilis precoce não especificada,NA
A520,Sífilis cardiovascular,NA
A521,Neurossífilis sintomática,NA
A522,Neurossífilis assintomática,NA
A523,Neurossífilis não especificada,NA
A527,Outras formas de sífilis tardia sintomática,NA
A528,Sífilis tardia latente,NA
A529,Sífilis tardia não especificada,NA
A530,"Sífilis latente, não especificada se recente ou tardia",NA
A539,Sífilis não especificada,NA
A540,"Infecção gonocócica do trato geniturinário inferior, sem abscesso periuretral ou das glândulas acessórias",NA
A541,"Infecção gonocócica do trato geniturinário inferior, com abscesso periuretral ou das glândulas acessórias",NA
A542,Pelviperitonite gonocócica e outras infecções geniturinárias gonocócicas,NA
A543,Infecção gonocócica do olho,NA
A544,Infecção gonocócica do sistema músculo-esquelético,NA
A545,Faringite gonocócica,NA
A546,Infecção gonocócica do ânus ou do reto,NA
A548,Outras infecções gonocócicas,NA
A549,Infecção gonocócica não especificada,NA
A55,Linfogranuloma (venéreo) por clamídia,NA
A560,Infecções por clamídias do trato geniturinário inferior,NA
A561,"Infecção por clamídias, pelviperitonial e de outros órgãos geniturinários",NA
A562,"Infecção por clamídias do trato geniturinário, localização não especificada",NA
A563,Infecção do ânus e do reto por clamídias,NA
A564,Infecção da faringe por clamídias,NA
A568,"Infecção por clamídias transmitida por via sexual, de outras localizações",NA
A57,Cancro mole,NA
A58,Granuloma inguinal,NA
A590,Tricomoníase urogenital,NA
A598,Outras localizações de tricomoníase,NA
A599,Tricomoníase não especificada,NA
A600,Infecção dos órgãos genitais e do trato geniturinário pelo vírus do herpes,NA
A601,Infecção da margem cutânea do ânus e do reto pelo vírus do herpes,NA
A609,Infecção anogenital não especificada pelo vírus do herpes,NA
A630,Verrugas anogenitais (venéreas),NA
A638,Outras doenças especificadas de transmissão predominantemente sexual,NA
A64,"Doenças sexualmente transmitidas, não especificadas",NA
A65,Sífilis não-venérea,NA
A660,Lesões iniciais da bouba,NA
A661,Papilomas múltiplos e bouba plantar úmida (cravo de bouba),NA
A662,Outras lesões cutâneas precoces da bouba,NA
A663,Hiperceratose devida a bouba,NA
A664,Gomas e úlceras devidas à bouba,NA
A665,Gangosa,NA
A666,Lesões osteoarticulares devidas à bouba,NA
A667,Outras manifestações da bouba,NA
A668,Bouba latente,NA
A669,Bouba não especificada,NA
A670,Lesões primárias da pinta,NA
A671,Lesões intermediárias da pinta,NA
A672,Lesões tardias da pinta,NA
A673,Lesões mistas da pinta,NA
A679,Pinta não especificada,NA
A680,Febre recorrente transmitida por piolhos,NA
A681,Febre recorrente transmitida por carrapatos,NA
A689,Febre recorrente não especificada,NA
A690,Estomatite ulcerativa necrotizante,NA
A691,Outras infecções de Vincent,NA
A692,Doença de Lyme,NA
A698,Outras infecções especificadas por espiroquetas,NA
A699,"Infecção por espiroqueta, não especificada",NA
A70,Infecções causadas por Clamídia psittaci,NA
A710,Fase inicial do tracoma,NA
A711,Fase ativa do tracoma,
A719,Tracoma não especificado,
A740,Conjuntivite causada por clamídias,H13.1*
A748,Outras doenças causadas por clamídias,
A749,Infecção causada por clamídias não especificada,
A750,Tifo epidêmico transmitido por piolhos devido a Rickettsia prowazekii,
A751,Tifo recrudescente [doença de Brill],
A752,Tifo por Rickettsia typhi,
A753,Tifo por Rickettsia tsutsugamuchi,
A759,Tifo não especificado,
A770,Febre maculosa por Rickettsia richettsii,
A771,Febre maculosa por Rickettsia conorii,
A772,Febre maculosa devida à Rickettsia siberica,
A773,Febre maculosa devida à Rickettsia australis,
A778,Outras febres maculosas,
A779,Febre maculosa não especificada,NA
A78,Febre Q,NA
A790,Febre das trincheiras,NA
A791,Rickettsiose variceliforme devida à Rickettsia akari,NA
A798,Outros tipos de rickettsioses especificadas,NA
A799,Rickettsiose não especificada,NA
A800,"Poliomielite paralítica aguda, associada ao vírus vacinal",NA
A801,"Poliomielite paralítica aguda, vírus selvagem importado",NA
A802,"Poliomielite paralítica aguda, vírus selvagem indígena",NA
A803,"Poliomielites paralíticas agudas, outras e não especificadas",NA
A804,Poliomielite aguda não-paralítica,NA
A809,Poliomielite aguda não especificada,NA
A810,Doença de Creutzfeldt-Jakob,NA
A811,Panencefalite esclerosante subaguda,NA
A812,Leucoencefalopatia multifocal progressiva,NA
A818,Outras infecções por vírus atípicos do sistema nervoso central,NA
A819,Infecção não especificada do sistema nervosos central por vírus atípicos,NA
A820,Raiva silvestre,NA
A821,Raiva urbana,NA
A829,Raiva não especificada,NA
A830,Encefalite japonesa,NA
A831,Encefalite eqüina ocidental,NA
A832,Encefalite eqüina oriental,NA
A833,Encefalite de St. Louis,NA
A834,Encefalite australiana,NA
A835,Encefalite da Califórnia,NA
A836,Doença pelo vírus de Rocio,NA
A838,Outras encefalites por vírus transmitidas por mosquitos,NA
A839,Encefalite não especificada por vírus transmitida por mosquitos,NA
A840,Encefalite da taiga [encefalite vernoestival russa],NA
A841,Encefalite da Europa Central transmitida por carrapatos,
A848,Outras encefalites por vírus transmitidas por carrapatos,
A849,Encefalite não especificada por vírus transmitida por carrapatos,
A850,Encefalite por enterovírus,G05.1*
A851,Encefalite por adenovírus,G05.1*
A852,"Encefalite por vírus transmitido por artrópodes, não especificada",
A858,Outras encefalites virais especificadas,
A86,"Encefalite viral, não especificada",
A870,Meningite por enterovírus,G02.0*
A871,Meningite por adenovírus,G02.0*
A872,Coriomeningite linfocitária,
A878,Outras meningites virais,
A879,Meningite viral não especificada,
A880,Febre exantemática por enterovírus [exantema de Boston],
A881,Vertigem epidêmica,
A888,Outras infecções virais especificadas do sistema nervoso central,NA
A89,Infecções virais não especificadas do sistema nervoso central,NA
A90,Dengue [dengue clássico],NA
A91,Febre hemorrágica devida ao vírus do dengue,NA
A920,Febre de Chikungunya,NA
A921,Febre de O'nyong-nyong,NA
A922,Febre eqüina venezuelana,NA
A923,Infecção pelo vírus West Nile,NA
A924,Febre do vale do Rift,NA
A928,Outras febres virais especificadas transmitidas por mosquitos,NA
A929,"Febre viral transmitida por mosquitos, não especificada",NA
A930,Febre de Oropouche,NA
A931,Febre por flebótomos,NA
A932,Febre do Colorado transmitida por carrapatos,NA
A938,Outras febres virais especificadas transmitidas por artrópodes,NA
A94,"Febre viral transmitida por artrópodes, não especificada",NA
A950,Febre amarela silvestre,NA
A951,Febre amarela urbana,NA
A959,Febre amarela não especificada,NA
A960,Febre hemorrágica de Junin,NA
A961,Febre hemorrágica de Machupo,NA
A962,Febre de Lassa,NA
A968,Outras febres hemorrágicas por arenavírus,NA
A969,"Febre hemorrágica por arenavírus, não especificada",NA
A980,Febre hemorrágica da Criméia (do Congo),NA
A981,Febre hemorrágica de Omsk,NA
A982,Doença da floresta de Kyasanur,NA
A983,Doença de Marburg,NA
A984,Doença pelo vírus Ebola,NA
A985,Febre hemorrágica com síndrome renal,NA
A988,Outras febres hemorrágicas especificadas por vírus,
A99,Febres hemorrágicas virais não especificadas,
B000,Eczema herpético,
B001,Dermatite vesicular devido ao vírus do herpes,
B002,Gengivoestomatite e faringoamigdalite devida ao vírus do herpes,
B003,Meningite devida ao vírus do herpes,G02.0*
B004,Encefalite devida ao vírus do herpes,G05.1*
B005,Afecções oculares devidas ao vírus do herpes,
B007,Doença disseminada devida ao vírus do herpes,
B008,Outras formas de infecção devida ao vírus do herpes,
B009,Infecção não especificada devida ao vírus do herpes,
B010,Meningite por varicela,G02.0*
B011,Encefalite por varicela,G05.1*
B012,Pneumopatia varicelosa,J17.1*
B018,Varicela com outras complicações,
B019,Varicela sem complicação,
B020,Encefalite pelo vírus do herpes zoster,G05.1*
B021,Meningite pelo vírus do herpes zoster,G02.0*
B022,Herpes zoster acompanhado de outras manifestações neurológicas,
B023,Herpes zoster oftálmico,
B027,Herpes zoster disseminado,
B028,Herpes zoster com outras complicações,
B029,Herpes zoster sem complicação,
B03,Varíola,
B04,Varíola dos macacos [Monkeypox],
B050,Sarampo complicado por encefalite,G05.1*
B051,Sarampo complicado por meningite,G02.0*
B052,Sarampo complicado por pneumonia,J17.1*
B053,Sarampo complicado por otite média,H67.1*
B054,Sarampo com complicações intestinais,
B058,Sarampo com outras complicações,NA
B059,Sarampo sem complicação,NA
B060,Rubéola com complicações neurológicas,NA
B068,Rubéola com outras complicações,NA
B069,Rubéola sem complicação,NA
B07,Verrugas de origem viral,NA
B080,Outras infecções por ortopoxvírus,NA
B081,Molusco contagioso,NA
B082,Exantema súbito [sexta doença],NA
B083,Eritema infeccioso [quinta doença],NA
B084,Estomatite vesicular devida a enterovírus com exantema,NA
B085,Faringite vesicular devida a enterovírus,NA
B088,Outras infecções virais especificadas caracterizadas por lesões de pele e das membranas mucosas,NA
B09,Infecção viral não especificada caracterizada por lesões da pele e membranas mucosas,NA
B150,Hepatite A com coma hepático,NA
B159,Hepatite A sem coma hepático,NA
B160,"Hepatite aguda B com agente Delta (co-infecção), com coma hepático",NA
B161,"Hepatite aguda B com agente Delta, (co-infecção), sem coma hepático",NA
B162,"Hepatite aguda B sem agente Delta, com coma hepático",NA
B169,Hepatite aguda B sem agente Delta e sem coma hepático,NA
B170,(Super)infecção Delta aguda de portador de hepatite B,NA
B171,Hepatite aguda C,NA
B172,Hepatite aguda E,NA
B178,Outras hepatites virais agudas especificadas,NA
B180,Hepatite viral crônica B com agente Delta,NA
B181,Hepatite crônica viral B sem agente Delta,NA
B182,Hepatite viral crônica C,NA
B188,Outras hepatites crônicas virais,NA
B189,Hepatite viral crônica não especificada,NA
B190,"Hepatite viral, não especificada, com coma",NA
B199,"Hepatite viral, não especificada, sem coma",NA
B200,Doença pelo HIV resultando em infecções micobacterianas,NA
B201,Doença pelo HIV resultando em outras infecções bacterianas,NA
B202,Doença pelo HIV resultando em doença citomegálica,NA
B203,Doença pelo HIV resultando em outras infecções virais,NA
B204,Doença pelo HIV resultando em candidíase,NA
B205,Doença pelo HIV resultando em outras micoses,NA
B206,Doença pelo HIV resultando em pneumonia por Pneumocystis jirovecii,NA
B207,Doença pelo HIV resultando em infecções múltiplas,NA
B208,Doença pelo HIV resultando em outras doenças infecciosas e parasitárias,NA
B209,Doença pelo HIV resultando em doença infecciosa ou parasitária não especificada,NA
B210,Doença pelo HIV resultando em sarcoma de Kaposi,NA
B211,Doença pelo HIV resultando em linfoma de Burkitt,NA
B212,Doença pelo HIV resultando em outros tipos de linfoma não-Hodgkin,NA
B213,"Doença pelo HIV resultando em outras neoplasias malignas dos tecidos linfático, hematopoético e correlatos",NA
B217,Doença pelo HIV resultando em múltiplas neoplasias malignas,
B218,Doença pelo HIV resultando em outras neoplasias malignas,
B219,Doença pelo HIV resultando em neoplasia maligna não especificada,
B220,Doença pelo HIV resultando em encefalopatia,
B221,Doença pelo HIV resultando em pneumonite intersticial linfática,
B222,Doença pelo HIV resultando em síndrome de emaciação,
B227,Doença pelo HIV resultando em doenças múltiplas classificadas em outra parte,
B230,Síndrome de infecção aguda pelo HIV,
B231,Doença pelo HIV resultando em linfadenopatias generalizadas (persistentes),
B232,Doença pelo HIV resultando em anomalias hematológicas e imunológicas não classificadas em outra parte,
B238,Doença pelo HIV resultando em outra afecções especificadas,
B24,Doença pelo vírus da imunodeficiência humana [HIV] não especificada,
B250,Pneumonite por citomegalovírus,J17.1*
B251,Hepatite por citomegalovírus,K77.0*
B252,Pancreatite por citomegalovírus,K87.1*
B258,Outras doenças por citomegalovírus,
B259,Doença não especificada por citomegalovírus,
B260,Orquite por caxumba [parotidite epidêmica],N51.1*
B261,Meningite por caxumba [parotidite epidêmica],G02.0*
B262,Encefalite por caxumba [parotidite epidêmica],G05.1*
B263,Pancreatite por caxumba [parotidite epidêmica],K87.1*
B268,Caxumba [parotidite epidêmica] com outras complicações,
B269,Caxumba [parotidite epidêmica] sem complicações,
B270,Mononucleose pelo vírus herpes gama,
B271,Mononucleose por citomegalovírus,
B278,Outras mononucleoses infecciosas,
B279,Mononucleose infecciosa não especificada,
B300,Ceratoconjuntivite devida a adenovírus,H19.2*
B301,Conjuntivite devida a adenovírus,H13.1*
B302,Faringoconjuntivite viral,
B303,Conjuntivite hemorrágica aguda endêmica (por enterovírus),H13.1*
B308,Outras conjuntivites virais,H13.1*
B309,Conjuntivite viral não especificada,
B330,Mialgia epidêmica,
B331,Doença de Ross River,
B332,Cardite viral,
B333,Infecção por retrovírus não classificada em outra parte,
B334,Síndrome (cardio-)pulmonar por Hantavírus [SPH] [SCPH],J17.1*
B338,Outras doenças especificadas por vírus,
B340,Infecção por adenovírus de localização não especificada,
B341,Infecção por enterovírus de localização não especificada,
B342,Infecção por coronavírus de localização não especificada,
B343,Infecção por parvovírus de localização não especificada,
B344,Infecção por papovavírus de localização não especificada,
B348,Outras infecções por vírus de localização não especificada,
B349,Infecção viral não especificada,NA
B350,Tinha da barba e do couro cabeludo,NA
B351,Tinha das unhas,NA
B352,Tinha da mão,NA
B353,Tinha dos pés,NA
B354,Tinha do corpo,NA
B355,Tinha imbricada,NA
B356,Tinea cruris,NA
B358,Outras dermatofitoses,NA
B359,Dermatofitose não especificada,NA
B360,Pitiríase versicolor,NA
B361,Tinha negra,NA
B362,Piedra branca,NA
B363,Piedra negra,NA
B368,Outras micoses superficiais especificadas,NA
B369,Micose superficial não especificada,
B370,Estomatite por Candida,
B371,Candidíase pulmonar,
B372,Candidíase da pele e das unhas,
B373,Candidíase da vulva e da vagina,N77.1*
B374,Candidíase de outras localizações urogenitais,
B375,Meningite por Candida,G02.1*
B376,Endocardite por Candida,I39.8*
B377,Septicemia por Candida,
B378,Candidíase de outras localizações,
B379,Candidíase não especificada,
B380,Coccidioidomicose pulmonar aguda,
B381,Coccidioidomicose pulmonar crônica,
B382,Coccidioidomicose pulmonar não especificada,
B383,Coccidioidomicose cutânea,
B384,Meningite por coccidioidomicose,G02.1*
B387,Coccidioidomicose disseminada,
B388,Outras formas de coccidioidomicose,
B389,Coccidioidomicose não especificada,
B390,Histoplasmose pulmonar aguda por Histoplasma capsulatum,
B391,Histoplasmose pulmonar crônica por Histoplasma capsulatum,
B392,Histoplasmose pulmonar não especificada por Histoplasma capsulatum,
B393,Histoplasmose disseminada por Histoplasma capsulatum,
B394,Histoplasmose não especificada por Histoplasma capsulatum,
B395,Histoplasmose por Histoplasma duboisii,
B399,Histoplasmose não especificada,
B400,Blastomicose pulmonar aguda,
B401,Blastomicose pulmonar crônica,
B402,Blastomicose pulmonar não especificada,
B403,Blastomicose cutânea,
B407,Blastomicose disseminada,
B408,Outras formas de blastomicose,
B409,Blastomicose não especificada,
B410,Paracoccidioidomicose pulmonar,
B417,Paracoccidioidomicose disseminada,
B418,Outras formas de paracoccidioidomicose,
B419,Paracoccidioidomicose não especificada,
B420,Esporotricose pulmonar,J99.8*
B421,Esporotricose linfocutânea,
B427,Esporotricose disseminada,
B428,Outras formas de esporotricose,
B429,Esporotricose não especificada,
B430,Cromomicose cutânea,
B431,Abscesso cerebral feomicótico,
B432,Abscesso e cisto feomicótico subcutâneos,
B438,Outras formas de cromomicose,NA
B439,Cromomicose não especificada,NA
B440,Aspergilose pulmonar invasiva,NA
B441,Outras aspergiloses pulmonares,NA
B442,Aspergilose amigdaliana,NA
B447,Aspergilose disseminada,NA
B448,Outras formas de aspergilose,NA
B449,Aspergilose não especificada,NA
B450,Criptococose pulmonar,NA
B451,Criptococose cerebral,NA
B452,Criptococose cutânea,NA
B453,Criptococose óssea,NA
B457,Criptococose disseminada,NA
B458,Outras formas de criptococose,NA
B459,Criptococose não especificada,NA
B460,Mucormicose pulmonar,NA
B461,Mucormicose rinocerebral,NA
B462,Mucormicose gastrointestinal,NA
B463,Mucormicose cutânea,NA
B464,Mucormicose disseminada,NA
B465,Mucormicose não especificada,NA
B468,Outras zigomicoses,NA
B469,Zigomicose não especificada,NA
B470,Eumicetoma,NA
B471,Actinomicetoma,NA
B479,Micetoma não especificado,NA
B480,Lobomicose,NA
B481,Rinosporidiose,NA
B482,Alesqueriose,NA
B483,Geotricose,NA
B484,Penicilose,NA
B487,Micoses oportunistas,NA
B488,Outras micoses especificadas,NA
B49,Micose não especificada,NA
B500,Malária por Plasmodium falciparum com complicações cerebrais,NA
B508,Outras formas graves e complicadas de malária por Plasmodium falciparum,NA
B509,Malária não especificada por Plasmodium falciparum,NA
B510,Malária por Plasmodium vivax com rotura do baço,NA
B518,Malária por Plasmodium vivax com outras complicações,NA
B519,Malária por Plasmodium vivax sem complicações,NA
B520,Malária por Plasmodium malariae com nefropatia,NA
B528,Malária por Plasmodium malariae com outras complicações,NA
B529,Malária por Plasmodium malariae sem complicações,NA
B530,Malária por Plasmodium ovale,NA
B531,Malária por plasmódios de macacos,NA
B538,"Outras formas de malárias com confirmação parasitológica, não classificadas em outra parte",
B54,Malária não especificada,
B550,Leishmaniose visceral,
B551,Leishmaniose cutânea,
B552,Leishmaniose cutâneo-mucosa,
B559,Leishmaniose não especificada,
B560,Tripanossomíase por Trypanosoma gambiense,
B561,Tripanossomíase por Trypanosoma rhodesiense,
B569,Tripanossomíase africana não especificada,
B570,"Forma aguda da doença de Chagas, com comprometimento cardíaco","I41.2*,I98.1*"
B571,"Forma aguda da doença de Chagas, sem comprometimento cardíaco",
B572,Doença de Chagas (crônica) com comprometimento cardíaco,
B573,Doença de Chagas (crônica) com comprometimento do aparelho digestivo,
B574,Doença de Chagas (crônica) com comprometimento do sistema nervoso,
B575,Doença de Chagas (crônica) com comprometimento de outros órgãos,
B580,Oculopatia por Toxoplasma,
B581,Hepatite por Toxoplasma,K77.0*
